horizon,date,asin,root_category,amazon_price,future_min_price,drop_probability,price_vs_rolling_mean_30,price_rolling_std_30,offer_count,offer_count_trend_14,price_source,model_decision,error_type
7,2026-04-01,B07RJDRS6Y,Tools & Home Improvement,179.0,179.0,0.9590914,0.39269264284825106,25.087560236513212,39.0,0.0,AMAZON,WAIT,false_wait
7,2026-02-10,B07YMKD6SM,Electronics,232.73,232.42,0.95389295,0.8839754556198965,83.61640466556406,5.0,2.0,AMAZON,WAIT,false_wait
7,2026-04-23,B075BF6V58,Tools & Home Improvement,179.0,179.0,0.94865596,0.4393001302606822,15.68303005557768,58.0,5.0,AMAZON,WAIT,false_wait
7,2026-02-08,B08NHSPCR6,Electronics,335.84,333.61,0.94600695,4.30192760052413,4.609873324613269,9.0,-4.0,AMAZON,WAIT,false_wait
7,2026-03-21,B07YMKD6SM,Electronics,212.52,210.37,0.94522464,0.2371686155494064,85.39143988970322,5.0,-1.0,AMAZON,WAIT,false_wait
7,2026-02-20,B00KWRM5Z4,Tools & Home Improvement,129.0,129.0,0.9392933,0.6269117263761486,32.27919856858099,50.0,1.0,AMAZON,WAIT,false_wait
7,2026-04-28,B075BF6V58,Tools & Home Improvement,179.0,174.99,0.9367588,0.3301034359766972,25.552182388743194,45.0,-14.0,AMAZON,WAIT,false_wait
7,2026-03-12,B00KWRM5Z4,Tools & Home Improvement,129.0,129.0,0.9364862,0.17700371957506206,32.73572418346798,33.0,-7.0,AMAZON,WAIT,false_wait
7,2026-05-15,B085B253MD,Tools & Home Improvement,219.0,219.0,0.9348932,0.3797738178992576,21.251012322067456,29.0,9.0,AMAZON,WAIT,false_wait
7,2026-04-29,B075BF6V58,Tools & Home Improvement,179.0,174.99,0.9321288,0.30934413318736304,26.51467459446911,44.0,-17.0,AMAZON,WAIT,false_wait
7,2026-05-26,B08NHSPCR6,Electronics,313.24,312.57,0.93004656,0.04146833159149418,62.53062243927841,8.0,-2.0,AMAZON,WAIT,false_wait
7,2026-04-24,B075BF6V58,Tools & Home Improvement,179.99,179.0,0.9277817,0.4247267143185074,18.553201629090044,46.0,-8.0,AMAZON,WAIT,false_wait
7,2026-04-04,B00KWRM5Z4,Tools & Home Improvement,129.0,129.0,0.9269701,0.09484404837683001,25.429936709211095,40.0,7.0,AMAZON,WAIT,false_wait
7,2026-04-02,B07RJDRS6Y,Tools & Home Improvement,179.0,179.0,0.9232432,0.3717000651365952,26.659175395323267,38.0,1.0,AMAZON,WAIT,false_wait
7,2026-05-14,B085B253MD,Tools & Home Improvement,219.0,219.0,0.92277503,0.4030546870995849,18.199916710685176,29.0,9.0,AMAZON,WAIT,false_wait
7,2026-04-18,B07Y9QYW88,Home & Kitchen,96.44,96.44,0.92124325,1.4787950444661493,24.378675899660543,5.0,2.0,AMAZON,WAIT,false_wait
7,2026-05-13,B085B253MD,Tools & Home Improvement,219.0,219.0,0.9208903,0.42713467415930484,14.018475415982925,28.0,8.0,AMAZON,WAIT,false_wait
7,2026-04-26,B075BF6V58,Tools & Home Improvement,179.0,174.99,0.9194703,0.3722538950800738,22.819479229352794,45.0,-12.0,AMAZON,WAIT,false_wait
7,2026-04-03,B07RJDRS6Y,Tools & Home Improvement,179.0,179.0,0.9175514,0.35133094774350393,28.000581693464905,37.0,0.0,AMAZON,WAIT,false_wait
7,2026-04-27,B075BF6V58,Tools & Home Improvement,179.0,174.99,0.9163821,0.3515316099837163,24.359413911093313,46.0,-8.0,AMAZON,WAIT,false_wait
14,2026-02-10,B07YMKD6SM,Electronics,232.73,232.36,0.97663236,0.8839754556198965,83.61640466556406,5.0,2.0,AMAZON,WAIT,false_wait
14,2026-02-20,B00KWRM5Z4,Tools & Home Improvement,129.0,129.0,0.9722028,0.6269117263761486,32.27919856858099,50.0,1.0,AMAZON,WAIT,false_wait
14,2026-03-12,B00KWRM5Z4,Tools & Home Improvement,129.0,129.0,0.9704084,0.17700371957506206,32.73572418346798,33.0,-7.0,AMAZON,WAIT,false_wait
14,2026-03-21,B07YMKD6SM,Electronics,212.52,210.37,0.9543205,0.2371686155494064,85.39143988970322,5.0,-1.0,AMAZON,WAIT,false_wait
14,2026-04-24,B075BF6V58,Tools & Home Improvement,179.99,174.99,0.95323294,0.4247267143185074,18.553201629090044,46.0,-8.0,AMAZON,WAIT,false_wait
14,2026-04-28,B075BF6V58,Tools & Home Improvement,179.0,174.99,0.95308757,0.3301034359766972,25.552182388743194,45.0,-14.0,AMAZON,WAIT,false_wait
14,2026-02-23,B00KWRM5Z4,Tools & Home Improvement,129.0,129.0,0.9530435,0.4960742547655957,34.75506975504663,46.0,-6.0,AMAZON,WAIT,false_wait
14,2026-04-29,B075BF6V58,Tools & Home Improvement,179.0,174.99,0.952858,0.30934413318736304,26.51467459446911,44.0,-17.0,AMAZON,WAIT,false_wait
14,2026-04-04,B00KWRM5Z4,Tools & Home Improvement,129.0,129.0,0.9522636,0.09484404837683001,25.429936709211095,40.0,7.0,AMAZON,WAIT,false_wait
14,2026-04-27,B075BF6V58,Tools & Home Improvement,179.0,174.99,0.95226043,0.3515316099837163,24.359413911093313,46.0,-8.0,AMAZON,WAIT,false_wait
14,2026-04-23,B075BF6V58,Tools & Home Improvement,179.0,174.99,0.9490726,0.4393001302606822,15.68303005557768,58.0,5.0,AMAZON,WAIT,false_wait
14,2026-04-25,B075BF6V58,Tools & Home Improvement,179.99,174.99,0.9489819,0.40252312343668434,20.927837779807657,45.0,-10.0,AMAZON,WAIT,false_wait
14,2026-02-22,B00KWRM5Z4,Tools & Home Improvement,129.0,129.0,0.9486273,0.537691317408096,34.12870633150435,46.0,-6.0,AMAZON,WAIT,false_wait
14,2026-02-21,B00KWRM5Z4,Tools & Home Improvement,129.0,129.0,0.94839746,0.5810438157491573,33.29912353442528,45.0,-5.0,AMAZON,WAIT,false_wait
14,2026-02-22,B01MQTIEMD,Tools & Home Improvement,259.0,249.0,0.94692844,0.2997158021688695,38.91097989561281,30.0,-5.0,AMAZON,WAIT,false_wait
14,2026-02-21,B01MQTIEMD,Tools & Home Improvement,259.0,249.0,0.9462083,0.32160163830977884,37.854751597464606,29.0,-4.0,AMAZON,WAIT,false_wait
14,2026-02-27,B01MQTIEMD,Tools & Home Improvement,259.0,249.0,0.9460489,0.20591690813458477,38.7477413520461,30.0,-4.0,AMAZON,WAIT,false_wait
14,2026-02-11,B01MQTIEMD,Tools & Home Improvement,214.96,214.96,0.94409204,0.2352484843841284,24.996899129531066,34.0,6.0,AMAZON,WAIT,false_wait
14,2026-02-10,B01MQTIEMD,Tools & Home Improvement,214.96,214.96,0.9438356,0.2438135282658591,23.79971042033812,34.0,6.0,AMAZON,WAIT,false_wait
