horizon,date,asin,root_category,amazon_price,future_min_price,drop_probability,price_vs_rolling_mean_30,price_rolling_std_30,offer_count,offer_count_trend_14,price_source,model_decision,error_type
7,2026-02-22,B085WPHQN4,Toys & Games,19.28,13.48,0.0021561945,-0.33119030549709766,5.628976714339301,,,AMAZON,BUY_NOW,missed_drop
7,2026-02-17,B085WPHQN4,Toys & Games,19.28,13.48,0.0024034933,-0.36332515107818636,3.7275652433831103,,,AMAZON,BUY_NOW,missed_drop
7,2026-02-21,B085WPHQN4,Toys & Games,19.28,13.48,0.0024905566,-0.3378741915173716,5.33644598465363,,,AMAZON,BUY_NOW,missed_drop
7,2026-02-20,B085WPHQN4,Toys & Games,19.28,13.48,0.0026948843,-0.34442580586661825,5.009464100551287,,,AMAZON,BUY_NOW,missed_drop
7,2026-02-19,B085WPHQN4,Toys & Games,19.28,13.48,0.002771179,-0.3508490364866836,4.640754608178809,,,AMAZON,BUY_NOW,missed_drop
7,2026-02-18,B085WPHQN4,Toys & Games,19.28,13.48,0.0029803638,-0.357147620423678,4.21939261304137,,,AMAZON,BUY_NOW,missed_drop
7,2026-04-20,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.004778786,-0.1037327494016397,1.7292237644651711,,,AMAZON,BUY_NOW,missed_drop
7,2026-04-21,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.004856083,-0.09829906414372566,1.7435234506577226,,,AMAZON,BUY_NOW,missed_drop
7,2026-04-09,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.006184514,0.0001167386555043703,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-04-10,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.006346179,0.0001167386555043703,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-04-12,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.006734966,0.00011673865550419253,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-04-11,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0068046693,0.0001167386555043703,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-04-13,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0068909493,0.00011673865550419253,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-01-27,B071CYL4GP,Sports & Outdoors,24.57,18.91,0.007243931,-0.08977525314892562,0.957271025413327,1.0,,AMAZON,BUY_NOW,missed_drop
7,2026-04-14,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0078586545,0.00011673865550419253,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-04-15,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.008352125,0.00011673865550419253,0.004301830690224356,,,NEW,BUY_NOW,missed_drop
7,2026-02-02,B07DLFPG6G,Toys & Games,23.17,16.45,0.008674698,-0.05316497078174159,1.3439605648975084,,,AMAZON,BUY_NOW,missed_drop
7,2026-03-08,B01N0RSCBI,Home & Kitchen,14.78,7.59,0.008700697,-0.024358043435210232,0.8284357923633727,16.0,-1.0,NEW,BUY_NOW,missed_drop
7,2026-03-05,B01N0RSCBI,Home & Kitchen,14.89,7.59,0.009024722,-0.04614464777604574,1.606022036464313,16.0,-1.0,NEW,BUY_NOW,missed_drop
7,2026-01-26,B071CYL4GP,Sports & Outdoors,24.57,18.91,0.009109935,-0.09432710383722219,0.8878775544679849,1.0,,AMAZON,BUY_NOW,missed_drop
14,2026-04-03,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.004101982,-0.0653491887848138,2.849056326930571,,,NEW,BUY_NOW,missed_drop
14,2026-04-02,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0041489834,-0.07543591878266502,3.012593509780657,,,NEW,BUY_NOW,missed_drop
14,2026-04-04,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0045609213,-0.05503994453461081,2.6544077634592576,,,NEW,BUY_NOW,missed_drop
14,2026-04-05,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0051183263,-0.044500740882367044,2.421155822585882,,,NEW,BUY_NOW,missed_drop
14,2026-04-07,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0057436908,-0.022700976158271397,1.7765962872347336,,,NEW,BUY_NOW,missed_drop
14,2026-04-17,B071CYL4GP,Sports & Outdoors,17.6,11.86,0.0059862575,-0.09683378662698211,1.9575162834584316,,,AMAZON,BUY_NOW,missed_drop
14,2026-04-06,B09F6JW2BD,Home & Kitchen,19.99,11.67,0.0062419213,-0.033723796787135656,2.1366952945165902,,,NEW,BUY_NOW,missed_drop
