horizon,model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
7,logistic_regression,0.51,0.7542,0.4047,0.6058,0.4852,0.7699,0.4458,67304,17965,7947,12212
7,majority_no_drop,0.5,0.8088,0.0,0.0,0.0,0.5,0.1912,85269,0,20159,0
7,rule_price_above_30d_mean,0.5,0.754,0.4008,0.5792,0.4737,0.6872,0.3126,67812,17457,8483,11676
7,xgboost_unweighted,0.25,0.7821,0.4513,0.645,0.531,0.813,0.521,69457,15812,7156,13003
14,logistic_regression,0.48,0.7324,0.5422,0.6634,0.5967,0.7813,0.6043,52896,16543,9941,19594
14,majority_no_drop,0.5,0.7016,0.0,0.0,0.0,0.5,0.2984,69439,0,29535,0
14,rule_price_above_30d_mean,0.5,0.7484,0.5847,0.5418,0.5624,0.689,0.4535,58073,11366,13534,16001
14,xgboost_unweighted,0.29,0.7518,0.5651,0.731,0.6374,0.8182,0.6575,52821,16618,7946,21589
30,logistic_regression,0.42,0.7066,0.6294,0.7542,0.6862,0.7863,0.7314,32509,15908,8808,27021
30,majority_no_drop,0.5,0.5747,0.0,0.0,0.0,0.5,0.4253,48417,0,35829,0
30,rule_price_above_30d_mean,0.5,0.7042,0.736,0.4748,0.5772,0.6744,0.5728,42314,6103,18817,17012
30,xgboost_unweighted,0.33,0.7343,0.6535,0.7989,0.7189,0.8225,0.777,33241,15176,7206,28623
