buy_threshold,wait_threshold,rows,buy_now_rows,uncertain_rows,wait_rows,buy_now_rate,uncertain_rate,wait_rate,decisive_rate,buy_now_actual_drop_rate,uncertain_actual_drop_rate,wait_actual_drop_rate,avg_conservative_saving_decisive_rows,avg_conservative_saving_all_rows,pct_pays_more_decisive_rows,pct_wait_pays_more_conservative,horizon
0.05,0.45,255671,68053,161656,25962,0.2662,0.6323,0.1015,0.3677,0.0285,0.1859,0.5808,3.1225,1.1482,0.0438,0.1586,7
0.05,0.475,255671,68053,165070,22548,0.2662,0.6456,0.0882,0.3544,0.0285,0.1918,0.5977,2.9926,1.0605,0.0385,0.1546,7
0.05,0.5,255671,68053,168144,19474,0.2662,0.6577,0.0762,0.3423,0.0285,0.1972,0.6146,2.838,0.9716,0.0337,0.1516,7
0.05,0.525,255671,68053,170963,16655,0.2662,0.6687,0.0651,0.3313,0.0285,0.2024,0.6322,2.698,0.8939,0.0293,0.1493,7
0.05,0.55,255671,68053,173481,14137,0.2662,0.6785,0.0553,0.3215,0.0285,0.2072,0.6494,2.5434,0.8176,0.0253,0.1469,7
0.05,0.575,255671,68053,175674,11944,0.2662,0.6871,0.0467,0.3129,0.0285,0.2118,0.6633,2.3237,0.7271,0.022,0.1472,7
0.05,0.6,255671,68053,177660,9958,0.2662,0.6949,0.0389,0.3051,0.0285,0.2158,0.6822,2.1033,0.6418,0.0186,0.1456,7
0.05,0.625,255671,68053,179348,8270,0.2662,0.7015,0.0323,0.2985,0.0285,0.2191,0.7062,1.9051,0.5687,0.0153,0.1412,7
0.05,0.65,255671,68053,180739,6879,0.2662,0.7069,0.0269,0.2931,0.0285,0.2218,0.7331,1.7416,0.5104,0.0125,0.1359,7
0.05,0.675,255671,68053,181946,5672,0.2662,0.7116,0.0222,0.2884,0.0285,0.2244,0.7576,1.5799,0.4556,0.01,0.1301,7
0.05,0.7,255671,68053,182917,4701,0.2662,0.7154,0.0184,0.2846,0.0285,0.2266,0.7828,1.4199,0.4041,0.0079,0.1219,7
0.05,0.725,255671,68053,183805,3813,0.2662,0.7189,0.0149,0.2811,0.0285,0.2288,0.8059,1.2432,0.3495,0.0061,0.1151,7
0.05,0.75,255671,68053,184584,3034,0.2662,0.722,0.0119,0.278,0.0285,0.2309,0.8253,1.0762,0.2992,0.0046,0.1084,7
0.05,0.775,255671,68053,185242,2376,0.2662,0.7245,0.0093,0.2755,0.0285,0.2328,0.8464,0.923,0.2542,0.0034,0.0993,7
0.05,0.8,255671,68053,185791,1827,0.2662,0.7267,0.0071,0.2733,0.0285,0.2344,0.8654,0.7587,0.2074,0.0025,0.0969,7
0.05,0.825,255671,68053,186228,1390,0.2662,0.7284,0.0054,0.2716,0.0285,0.2358,0.8763,0.6251,0.1698,0.0018,0.0878,7
0.05,0.85,255671,68053,186655,963,0.2662,0.7301,0.0038,0.2699,0.0285,0.2372,0.891,0.4748,0.1282,0.0012,0.0862,7
0.05,0.875,255671,68053,187004,614,0.2662,0.7314,0.0024,0.2686,0.0285,0.2384,0.8941,0.3161,0.0849,0.0006,0.07,7
0.05,0.9,255671,68053,187277,341,0.2662,0.7325,0.0013,0.2675,0.0285,0.2393,0.915,0.1932,0.0517,0.0003,0.0674,7
